YEAR,VISIT_NO,PHSTVL,CL,NO3,LAT_DD,LON_DD,URB_NLCD,AG_NLCD,FOR_NLCD
1993,1,7.43,71,15.3,40.94583,75.12667,0.067383,8.770431,86.89319
1993,1,7.99,89,53.2,40.27016,77.73835,0.048039,24.819344,74.002341
1993,1,7.2,16,2.9,41.05611,77.07583,0,0.846083,99.144178
1993,1,7.29,104,59.3,40.27082,78.59822,0.057325,9.194126,90.510703
1993,1,6.53,270,3.6,40.93639,75.59778,0.367789,0.657581,96.629805
1993,1,7.6,109,91.4,41.29583,76.8525,0.08385,37.117764,62.70762
1993,1,7.51,45,48.1,39.93111,78.67361,0.047678,17.474382,82.367914
1994,1,7.87,350,667,39.91917,77.62694,3.664941,91.016781,5.001067
1994,1,7.88,193,219,40.85889,77.58139,0.017716,47.098581,51.201625
1994,1,7.15,1625,27.3,40.07139,78.03333,4.636875,28.782153,65.714272
1994,1,7.16,84,14,41.10833,76.55694,0.014318,16.9,83.007085
1994,1,7.4,92,22,40.94528,75.12139,0.067383,8.770431,86.89319
1994,1,7.74,39,32,40.22278,77.77583,0.011889,22.73618,76.675332
1994,1,6.68,15,0,41.03889,77.08639,0,0.846083,99.144178
1994,1,6.78,77,55,40.27611,78.60389,0.057325,9.194126,90.510703
1994,1,6.53,314,2,40.93583,75.59861,0.367789,0.657581,96.629805
1994,1,7.47,134,69,41.29556,76.85333,0.08385,37.117764,62.70762
1994,1,6.93,75,49,39.91611,78.69639,0.176403,19.067304,78.683518
1993,1,8.04,345,261.7,40.9067,77.7794,4.863155,42.638256,50.286071
1993,1,7.98,190,116.3,40.8911,77.3936,0.006413,51.651811,48.078888
1993,1,7.65,520,276.1,40.8997,76.5117,0.477598,25.864065,71.204782
1995,1,7.59,136,44,37.06366111,79.92204167,2.969991,34.366828,62.42429
1995,1,6.97,72,2.7,37.72860278,77.88120556,0.153376,14.707348,78.315534
1995,1,8.16,139,29,37.52883333,79.73998056,0,62.729065,37.022585
1995,1,6.58,17,24.3,38.70431111,79.03638611,0.000582,0.431781,99.160408
